id,label,kind,note
inflection,inflection-shape,concept,V-bottom second leg
windfall,crisis-windfall-state,concept,Deep crush + crude stress pays
bleed,grind-bleed-state,concept,Same level, slow grind bleeds
imo2020,imo2020,concept,Marine sulfur rule shifted demand to diesel (2020)
covid,covid-demand-shock,concept,2020 demand collapse and recovery
neg-wti,negative-wti-event,concept,2020-04-20 futures below zero
sanctions,sanctions-2022,concept,Russia supply disruption
red-sea,red-sea-disruptions,concept,2024 shipping route diversions
macro-cycle,economic-cycle,concept,GDP-linked product demand
refiners,refiners,concept,Set margins via runs and pricing
blenders,blenders,concept,React to blend economics
pipeline-ops,pipeline-operators,concept,Control batch flow
traders,futures-traders,concept,Price discovery and flows
hedgers,hedgers,concept,Refiners and producers hedge
etf-users,etf-participants,concept,USO-style retail flows
norm_t,norm-component,concept,m_t norm (drift-corrected)
d_t,demand-component,concept,m_t demand state
s_t,supply-component,concept,m_t supply state
b_t,storage-component,concept,m_t storage buffer
r_t,residual-component,concept,m_t flow residual
regime-state,regime-gate,concept,Expansion/compression/crisis gate
ch12,chain-seasonal-demand-cycle,chain,Calendar demand peaks: summer gasoline, winter distillate, shoulder
ch13,chain-refinery-operations,chain,Utilization, turnarounds, complexity, outages
ch14,chain-capacity-structure,chain,Sticky entry/exit; closures; conversions; new builds
ch15,chain-crude-supply-and-flows,chain,OPEC+, shale, exports, quality mix
ch16,chain-product-trade,chain,Import/export arbitrage
ch17,chain-storage-cycle,chain,Injection, winter fill, tank bottoms
ch18,chain-pipeline-logistics,chain,Colonial batches and regional dislocations
ch19,chain-flow-positioning,chain,COT, open interest, curve and carry
ch20,chain-structural-events,chain,IMO2020, COVID, sanctions, EV, efficiency
ch21,chain-market-structure,chain,Refiners, blenders, pipelines, traders, hedgers
ch22,chain-crude-quality-detailed,chain,Quality mix -> refinery value, complex refineries
ch23,chain-weather-regime,chain,Cold, hurricanes, freeze events
ch24,chain-demand-structure,chain,Subgrades, octane, ethanol, travel shifts
ch25,chain-model-components,chain,Phase 4 model: norm + D + S + B + R, regime gate
